Day,Time,Temperature
16.02.,12:00,4.4
17.02.,06:00,4.4
18.02.,06:00,4.3
18.02.2026,11:15,4.4
19.02.2026,09:00,4.3
19.02.,09:00,4.3
20.02.2026,00:58,4.4
20.02.,00:00,4.4
21.02.2026,06:24,4.3
21.02.,09:00,4.3
22.02.2026,06:50,4.3
23.02.2026,12:00,4.6
25.02.2026,09:00,4.7
26.02.2026,21:00,5.4
27.02.2026,06:01,5.3
04.03.2026,19:15,6.5
05.03.2026,13:26,6.8
05.03.2026,15:00,6.8
05.03.2026,18:00,6.8
05.03.2026,21:00,6.7
06.03.2026,09:00,6.5
06.03.2026,11:05,6.9
07.03.2026,19:00,7.5
08.03.2026,15:00,7.8
08.03.2026,16:00,7.8
08.03.2026,18:03,7.9
08.03.2026,19:00,7.9
08.03.2026,20:00,7.9
08.03.2026,21:00,7.8
08.03.2026,22:00,7.8
08.03.2026,23:00,7.8
09.03.2026,00:00,7.7
09.03.2026,01:00,7.7
09.03.2026,02:00,7.7
09.03.2026,03:00,7.7
09.03.2026,04:00,7.7
09.03.2026,05:00,7.7
09.03.2026,06:00,7.7
09.03.2026,07:00,7.5
09.03.2026,08:00,7.5
09.03.2026,11:00,7.6
